"date","TOC_Tesla","Q_HH_cfd_sum1","ADD_HH_sum1","SJPL_mgd","V_HH_af","SR_HH_cfs","CPT_cfs","Ta_HH_C","ADD_HH","Q_HH_cfd","ADD_HH_sum","Q_HH_cfd_sum","Tw_Tesla_C"
"1999-08-23",1.3,54301074732.8008,243,262.2,331600,129,432,23.05555556,13,10157229.95616,256,37954273597.1502,12.2
"1999-08-30",1.3,54301074732.8008,243,261.6,324600,128,307,15.27777778,4,9016280.83872,262,38032138689.1681,18.3
"1999-09-07",1.3,54301074732.8008,243,261.4,316600,112,345,22.22222222,12,5524399.80864,270,38090037138.3729,13.3
"1999-09-13",1.3,54301074732.8008,243,259.4,310800,111,338,20,18,5810535.3888,276,38144156425.3233,14.4
"1999-09-22",1.2,54301074732.8008,243,260.1,301800,87,499,18.33333333,0,6926747.452704,282,38202887877.8541,14.4
"1999-09-29",1.3,54301074732.8008,243,260.9,295000,86,424,21.38888889,7,4462015.229856,289,38254443276.687,15.6
"1999-10-06",1.3,38258817153.3449,290,259.5,287900,67,503,13.88888889,14,3133951.838208,6,23630632.943904,13.3
"1999-10-13",1.2,38258817153.3449,290,260.1,281400,67,448,18.61111111,21,3099700.998144,13,49952403.300672,16.7
"1999-10-18",1.2,38258817153.3449,290,260.7,276800,67,501,16.66666667,26,873396.413856,18,69269876.92656,14.4
"1999-10-27",1.2,38258817153.3449,290,157,270400,65,275,9.166666667,0,5103375.123744,26,133798459.021344,14.4
"1999-11-03",1.3,38258817153.3449,290,158.3,266500,65,272,13.61111111,7,3799461.174912,33,168441252.159168,14.4
"1999-11-10",1.3,38258817153.3449,290,158.1,262300,65,295,11.11111111,2,5269221.390816,38,207927063.08928,12.8
"1999-11-17",1.1,38258817153.3449,290,157.5,258600,65,247,6.111111111,1,8254001.862144,43,257761277.568864,13.3
"1999-11-22",1.2,38258817153.3449,290,155.6,256600,65,345,4.444444444,2,10488418.5312,46,327778558.019424,12.2
"1999-12-01",1.1,38258817153.3449,290,158.7,251900,57,295,3.055555556,1,6532690.190688,54,382322621.23776,12.8
"1999-12-08",1.1,38258817153.3449,290,157.9,247900,49,296,1.111111111,8,3841611.843456,61,442988887.445856,12.2
"1999-12-22",1,38258817153.3449,290,228.3,238200,52,419,7.777777778,9,2242565.288928,74,492255678.921754,11.1
"1999-12-29",1,38258817153.3449,290,228.8,232800,52,402,5.555555556,16,2757937.436352,81,526429030.971226,11.7
"2000-01-05",0.9,38258817153.3449,290,229.9,226800,35,498,2.777777778,4,8010324.483552,87,546127775.122752,12.2
"2000-01-12",1,38258817153.3449,290,228.9,221200,34,398,7.5,1,4305407.784768,93,564924782.666304,12.2
"2000-01-19",0.8,38258817153.3449,290,230.2,218900,35,465,9.444444444,0,36546114.0816,94,749363920.155648,11.7
"2000-01-26",1,38258817153.3449,290,230.4,222800,40,344,6.111111111,0,64304664.27264,95,1172886883.93901,10.55
"2000-02-02",1.3,38258817153.3449,290,229.4,221300,63,377,7.777777778,2,24417252.16128,100,1381181340.67661,11.1
"2000-02-09",1,38258817153.3449,290,229.2,218900,61,369,12.22222222,0,24465380.78016,105,1533132554.81645,12.8
"2000-02-16",1.1,38258817153.3449,290,92.7,224800,69,610,1.944444444,0,80727735.12768,105,2156957365.62125,12.2
"2000-02-24",1.2,38258817153.3449,290,92.7,220400,64,907,0.555555556,0,35326405.55808,107,2474464149.88589,12.8
"2000-03-01",1.3,38258817153.3449,290,92.9,214300,150,1304,3.888888889,1,53716488.336,110,2814594043.46573,14.4
"2000-03-08",1.2,38258817153.3449,290,92.8,200800,142,1299,2.222222222,0,42653774.2752,111,3135512916.56333,11.7
"2000-03-15",1.4,38258817153.3449,290,94.6,188800,134,1271,11.94444444,7,74414559.22848,118,3509897864.47085,12.8
"2000-03-22",1.2,38258817153.3449,290,92.1,181600,130,1271,11.11111111,14,74907039.20256,125,4113561456.46829,11.1
"2000-03-29",1.2,38258817153.3449,290,92.8,174500,136,1262,10.27777778,21,97110373.7376,132,4719253398.28013,11.1
"2000-04-06",1.2,38258817153.3449,290,91.3,173400,151,1253,14.72222222,29,167862563.4816,140,5685163865.19533,12.5
"2000-04-12",1.4,38258817153.3449,290,91.8,179300,153,1255,17.77777778,0,210131228.6784,145,6793546781.08973,12.2
"2000-04-19",1.3,38258817153.3449,290,157.4,185000,160,1271,8.888888889,1,115915173.4656,147,8024026566.15533,11.1
"2000-04-26",1.5,38258817153.3449,290,241.1,188600,159,1273,16.38888889,8,224856919.8144,154,9168940027.58573,11.1
"2000-05-03",1.4,38258817153.3449,290,241.3,218100,183,1299,16.94444444,15,404412258.2976,161,11437084338.1361,12.2
"2000-05-10",1.5,38258817153.3449,290,241.5,260500,211,1356,8.611111111,2,360376961.4144,165,14629745941.7777,12.2
"2000-05-17",1.5,38258817153.3449,290,241.7,265300,216,1373,10.83333333,1,203185313.0496,170,16070049458.0945,11.1
"2000-05-25",1.7,38258817153.3449,290,241.8,311000,1520,1384,18.88888889,9,558022891.4784,178,19708312988.7665,15.6
"2000-05-31",1.6,38258817153.3449,290,241.18,333900,2490,1384,16.38888889,15,408981782.9664,184,22719299350.9553,14.4
"2000-06-08",1.7,38258817153.3449,290,240.6,360700,1350,1390,10,0,326159660.5344,190,25867818949.8257,13.3
"2000-06-14",1.7,38258817153.3449,290,240.7,363500,2730,1390,26.38888889,6,346761682.3872,196,27629877103.7201,14.4
"2000-06-21",1.7,38258817153.3449,290,241.1,361400,1160,1395,24.44444444,13,237332950.7328,203,29760895953.1889,16.7
"2000-06-28",1.8,38258817153.3449,290,238.7,361600,549,1394,26.38888889,0,179347958.1792,207,31168881940.0337,15.6
"2000-07-05",1.6,38258817153.3449,290,240.6,356700,165,700,17.77777778,7,71510648.54112,214,31951152523.9918,14.4
"2000-07-13",1.7,38258817153.3449,290,241.4,355600,130,366,21.94444444,15,41377147.11648,222,32362085870.6388,14.4
"2000-07-20",1.5,38258817153.3449,290,238.7,352600,127,278,22.77777778,22,25981184.58336,229,32598324557.034,14.4
"2000-07-26",1.4,38258817153.3449,290,239.3,348400,124,471,23.88888889,28,33730937.05824,235,32737859630.7224,14.4
"2000-08-02",1.4,38258817153.3449,290,239.2,341600,128,691,26.66666667,35,24256619.73504,242,32858049766.244,15.6
"2000-08-09",1.5,38258817153.3449,290,238.3,336900,129,338,21.94444444,6,16167608.51904,248,33023633674.3505,16.7
"2000-08-16",1.5,38258817153.3449,290,238.9,329700,126,474,24.72222222,13,6443612.090496,255,33094614943.0578,15.6
"2000-08-23",1.5,38258817153.3449,290,237.7,322600,127,447,22.77777778,20,5272046.256096,262,33145112034.0095,16.7
"2000-08-30",1.4,38258817153.3449,290,238,315700,127,416,18.33333333,1,8578465.389504,267,33190886412.9092,13.3
"2000-09-06",1.4,38258817153.3449,290,237.8,309500,127,426,15,4,3895173.302112,271,33257652631.1772,13.3
"2000-09-13",1.4,38258817153.3449,290,236.8,302300,101,459,22.5,11,1494606.048768,278,33281954925.5241,14.4
